Smokin' Sammy's|3|2.5|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c7fb9aff59f9/ico/stars/v1/stars_2_half.png|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/8e8633e5f8f0/ico/stars/v1/stars_small_2_half.png|https://www.yelp.com/biz/smokin-sammys-san-jose?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|Is this better than the Mongolian grill place that was previously here? In theory, yes, because anything SHOULD be better than that. In reality, I just...|https://s3-media1.fl.yelpcdn.com/bphoto/co1agJVs9JkDxciWVpZYig/ms.jpg||San Jose|CA|95112|1 Washington Square|37.33615819812|-121.88138936577
HOM Korean Kitchen|377|4|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png|https://www.yelp.com/biz/hom-korean-kitchen-san-jose-2?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|This restaurant is indeed a hidden-gem in downtown San Jose. I like this place because its catered to students nearby, it opens a little later than most...|https://s3-media3.fl.yelpcdn.com/bphoto/SSWvCeMG4AEcHyKM-GwDQQ/ms.jpg|+1-408-703-4777|San Jose|CA|95113|76 E Santa Clara St|37.3367777|-121.8890072
Corner Deli and Grill|37|4|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png|https://www.yelp.com/biz/corner-deli-and-grill-san-jose-2?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|I had the brisket stack once, it was good but pretty small for what I paid for it. A lot of their prices are pretty high, I think. The pulled pork fries...|https://s3-media3.fl.yelpcdn.com/bphoto/2bwu5TNc0XisQ28VOqR-_A/ms.jpg|+1-408-564-0306|San Jose|CA|95112|414 E William St|37.33284590997|-121.87554795295
SmokeEaters|823|3.5|https://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png|https://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png|https://www.yelp.com/biz/smokeeaters-san-jose?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|Yup, I'm a fan. Sal and I love hot wings. We'll pretty much eat them ANY way we can get them. Sometimes, that means we get them from SmokeEaters. This...|https://s3-media1.fl.yelpcdn.com/bphoto/hQZSkGYVnshd99s5DPdpWw/ms.jpg|+1-408-293-9976|San Jose|CA|95113|29 S 3rd St|37.336280130429|-121.88804907313
Deluxe Eatery And Drinkery|276|4|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png|https://www.yelp.com/biz/deluxe-eatery-and-drinkery-san-jose-2?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|I came here this past Sunday for brunch, food was delicious services great they even have a little waiting room. We got there and they had said It was going...|https://s3-media4.fl.yelpcdn.com/bphoto/pBZSZAIRfVwfNwo4UjrZgg/ms.jpg|+1-408-271-7777|San Jose|CA|95113|71 E San Fernando St|37.335276342059|-121.88777815551
Hawaiian Drive Inn|152|3.5|https://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png|https://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png|https://www.yelp.com/biz/hawaiian-drive-inn-san-jose-4?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|The food is great and the owner is nice. Being regular since I enter sjsu! Love here and would come back after I graduate.|https://s3-media1.fl.yelpcdn.com/bphoto/6KUzXrsO9xJF1CTxUYVrZg/ms.jpg|+1-408-275-9888|San Jose|CA|95113|304 E Santa Clara StSte B|37.33904|-121.88383
Taurinus Brazilian Steak House|533|4|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png|https://www.yelp.com/biz/taurinus-brazilian-steak-house-san-jose?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|Great service and great food! My boyfriend and I had lunch there and we felt we were treated with respect. The food was delicious! The pricing was good!...|https://s3-media1.fl.yelpcdn.com/bphoto/i_biMOCs3bj-ySPXYLLNEg/ms.jpg|+1-408-294-0110|San Jose|CA|95113|167 W San Fernando St|37.33302066021|-121.89209140054
Naglee Park Garage|965|3.5|https://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png|https://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png|https://www.yelp.com/biz/naglee-park-garage-san-jose?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|My boyfriend is obsessed with Naglee Park Garage, having eaten there on one of his business trips and ordering about half of the menu (no exaggeration). He...|https://s3-media2.fl.yelpcdn.com/bphoto/zyuyaP-DixblPM-dlKd7Lg/ms.jpg|+1-408-286-1100|San Jose|CA|95112|505 E San Carlos St|37.336803436279|-121.87629699707
Paddy Wagon Sliders|178|4.5|https://s3-media2.fl.yelpcdn.com/assets/2/www/img/99493c12711e/ico/stars/v1/stars_4_half.png|https://s3-media2.fl.yelpcdn.com/assets/2/www/img/a5221e66bc70/ico/stars/v1/stars_small_4_half.png|https://www.yelp.com/biz/paddy-wagon-sliders-san-jose-11?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|This is probably one of the most sexiest sliders I've ever seen. It's like a White Castle burger on crack. The entire paddy crew was fast. I can actually...|https://s3-media4.fl.yelpcdn.com/bphoto/Lv-3vRyRkupE_CYYf3--mQ/ms.jpg|+1-408-643-5254|San Jose|CA|95112||37.3382082|-121.8863286
Ike's Love & Sandwiches|523|4|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png|https://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png|https://www.yelp.com/biz/ikes-love-and-sandwiches-san-jose?adjust_creative=iXFee7diZPAfi_pfPXF7Sg&utm_campaign=yelp_api&utm_medium=api_v2_business&utm_source=iXFee7diZPAfi_pfPXF7Sg|This is hands down the best sandwich shop out there! No other place has sandwiches as loaded as Ike's. And it's also near SJSU, making it a good place to...|https://s3-media4.fl.yelpcdn.com/bphoto/5qfMZ7WrC7Cg54cv_PBiig/ms.jpg|+1-408-294-2802|San Jose|CA|95113|75 E Santa Clara St|37.336929887111|-121.88942116872
